category,description
stomping_grapes,"stomping_grapes, possibly grape juice, possibly participating in a grape stomping event."
training_dog,"training_dog, possibly training the dog., Two dogs"
windsurfing,"windsurfing, A windsurfer, Two windsurfers"
welding,"welding, creating sparks and emitting a bright light, A welder operates a machine"
tying_bow_tie,"tying_bow_tie, preparing for a formal event or occasion., demonstrating the proper technique for tying a bow tie."
stretching_leg,"stretching_leg, surrounded by exercise equipment., with her legs extended in a split position."
swimming_breast_stroke,"swimming_breast_stroke, A swimmer in a pool, A person swims in a pool"
unboxing,"unboxing, on a wooden table., on a wooden surface."
vault,"vault, A gymnast performs a vault on a blue mat, A gymnast performs on a blue mat"
throwing_ball,"throwing_ball, surrounded by exercise equipment., in a gym setting."
zumba,"zumba, A group of people dance energetically in a room, A group of people dance energetically in a gym"
swing_dancing,"swing_dancing, Two people dance in a dimly lit room, surrounded by a crowd of spectators."
washing_dishes,"washing_dishes, A person washes dishes in a kitchen sink, A child washes dishes in a kitchen sink"
trimming_or_shaving_beard,"trimming_or_shaving_beard, A man shaves his beard in front of a mirror, using a razor and shaving cream."
tapping_guitar,"tapping_guitar, A person plays a guitar, in a dimly lit room."
water_sliding,"water_sliding, A person slides down a blue water slide, A person slides down a water slide"
tango_dancing,"tango_dancing, A couple dances tango on a wooden floor, surrounded by a crowd of spectators."
using_computer,"using_computer, A person's hands type on a black keyboard, A person types on a black keyboard"
waxing_chest,"waxing_chest, A person is waxing another person's chest, A man lies on a bed"
whistling,"whistling, A man with a mustache and goatee, possibly whistling"
throwing_discus,"throwing_discus, with a crowd of spectators in the background., with a fence and trees in the background."
wrestling,"wrestling, Two wrestlers compete in a wrestling match, Two wrestlers engage in a match"
trimming_trees,"trimming_trees, in a residential area., with a clear blue sky in the background."
using_remote_controller_(not_gaming),"using_remote_controller_(not_gaming), ""VOLT"", possibly a Wii remote"
throwing_axe,"throwing_axe, holding a throwing axe, possibly a throwing axe"
washing_hair,"washing_hair, A person washes their hair in a bathroom, A person washes their hair in a bathroom sink"
trapezing,"trapezing, suspended in mid-air, A trapeze artist performs a daring trick"
waxing_legs,"waxing_legs, A person waxes another person's leg, A person's leg is waxed"
unloading_truck,"unloading_truck, with another man standing nearby., into a building."
washing_feet,"washing_feet, A religious ceremony takes place in a church, surrounded by other people."
yawning,"yawning, A baby, possibly yawning"
washing_hands,"washing_hands, A person washes their hands in a bathroom sink, A person washes their hands in a sink"
waxing_eyebrows,"waxing_eyebrows, A person waxes another person's eyebrows, A person is waxing another person's eyebrows"
weaving_basket,"weaving_basket, A person weaves a basket using a natural material, on a table."
writing,"writing, using a black marker., A hand holds a fountain pen"
yoga,"yoga, in a studio setting., with one person balancing on the other's shoulders."
